name,price,description,link,photo link
Ноутбук Apple MacBook Air MD711,17 243 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-4260U
Частота - 1.4 ГГц
Диагональ экрана - 11.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MDE4MDE3NDYiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i3.price.ua/images/model/839/436079/2/1/type4/apple_macbook_air_md711_1429907.jpg
Ноутбук ASUS VivoBook 17 X705MA-GC001 (90NB0IF2-M00010),от 11 999 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium Silver N5000
Частота - 1,1-2,7 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_17_x705ma-gc001_90nb0if2-m00010/catc839t14m3522854.html,https://i2.price.ua/images/model/839/3522854/2/1/type4/asus_vivobook_17_x705ma-gc001_90nb0if2-m00010_4735271.jpg
Ноутбук ASUS X555QG (X555QG-DM279D),13 399 грн. ,"Тип - Ноутбук
Тип процессора - AMD A10-9620P
Частота - 2,5-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MzIwMzI1MDEiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i1.price.ua/images/model/839/3387193/2/1/type4/asus_x555qg_x555qg-dm279d_4551897.jpg
Ноутбук ASUS VivoBook 15 X542UF-DM001 (90NB0IJ2-M00010),от 17 775 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-8250U
Частота - 1,6-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf-dm001_90nb0ij2-m00010/catc839t14m3522793.html,https://i3.price.ua/images/model/839/3522793/2/1/type4/asus_vivobook_15_x542uf-dm001_90nb0ij2-m00010_4735260.jpg
Ноутбук HP 250 G6 (2XZ27ES),10 299 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-5005U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MjkwNjk2NjciO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i3.price.ua/images/model/839/3267628/2/1/type4/hp_250_g6_2xz27es_4694576.jpg
Ноутбук HP 15-bs530ur (2HP73EA),13 200 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Частота - 2,5 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ4ODg0NTg1NDIiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https://i1.price.ua/images/model/839/3267763/2/1/type4/hp_15-bs530ur_2hp73ea_4682081.jpg
Ноутбук HP Pavilion x360 15-br095ms (2DS97UAR),от 15 942 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Частота - 2.5 - 3.1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/hp/hp_pavilion_x360_15-br095ms_2ds97uar/catc839t14m3710331.html,https://i4.price.ua/images/model/839/3710331/2/1/type4/hp_pavilion_x360_15-br095ms_2ds97uar_4945598.jpg
Ноутбук ASUS VivoBook 17 X705MA-GC003 (90NB0IF3-M00040),от 11 999 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium Silver N5000
Частота - 1,1-2,7 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_17_x705ma-gc003_90nb0if3-m00040/catc839t14m3522852.html,https://i2.price.ua/images/model/839/3522852/2/1/type4/asus_vivobook_17_x705ma-gc003_90nb0if3-m00040_4735272.jpg
Ноутбук Dell Inspiron 3567 (35i34H1R5M-LBK),от 11 892 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/dell/dell_inspiron_3567_35i34h1r5m-lbk/catc839t14m3387777.html,https:/images/preload.gif
Ноутбук ASUS VivoBook X510UQ (X510UQ-BQ373),от 13 499 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-7100U
Частота - 2,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_x510uq_x510uq-bq373/catc839t14m3261244.html,https:/images/preload.gif
Ноутбук ASUS R414UV-FA266D,от 15 158 грн. ,"Тип - Ультрабук
Тип процессора - i7-7500U
Диагональ экрана - 14 дюйм.
Разрешение экрана - 1920x1080 пикс.
Объем видеопамяти - 2048 Мб",https://price.ua/asus/asus_r414uv-fa266d/catc839t14m3148578.html,https:/images/preload.gif
Ноутбук Apple MacBook Air MD760,18 668 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-4250U
Диагональ экрана - 13.3 дюйм.
Разрешение экрана - 1440x900 пикс.
Вес - 1.35 кг",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MDE4MDE3NTAiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук ASUS X507UB (X507UB-EJ043),от 12 599 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_x507ub-ej043_90nb0hn1-m00780/catc839t14m3410459.html,https:/images/preload.gif
